----------------------  ------------------------------
kedorlaomer,            ('Genesis', '14', '4')
rebelled.               ('Genesis', '14', '4')
rephaites               ('Genesis', '14', '5')
ashteroth               ('Genesis', '14', '5')
karnaim,                ('Genesis', '14', '5')
zuzites                 ('Genesis', '14', '5')
mishpat                 ('Genesis', '14', '7')
kadesh),                ('Genesis', '14', '7')
zeboiim                 ('Genesis', '14', '8')
zoar)                   ('Genesis', '14', '8')
goiim,                  ('Genesis', '14', '9')
ellasar-four            ('Genesis', '14', '9')
hebrew.                 ('Genesis', '14', '13')
318                     ('Genesis', '14', '14')
hobah,                  ('Genesis', '14', '15')
valley).                ('Genesis', '14', '17')
sandal,                 ('Genesis', '14', '23')
rich.'                  ('Genesis', '14', '23')
me-to                   ('Genesis', '14', '24')
mamre.                  ('Genesis', '14', '24')
damascus?"              ('Genesis', '15', '2')
heir,                   ('Genesis', '15', '4')
stars-if                ('Genesis', '15', '5')
pigeon."                ('Genesis', '15', '9')
carcasses,              ('Genesis', '15', '11')
measure."               ('Genesis', '15', '16')
smoking                 ('Genesis', '15', '17')
euphrates-              ('Genesis', '15', '18')
kenizzites,             ('Genesis', '15', '19')
kadmonites,             ('Genesis', '15', '19')
girgashites             ('Genesis', '15', '21')
jebusites."             ('Genesis', '15', '21')
hagar,                  ('Genesis', '16', '4')
"hagar,                 ('Genesis', '16', '8')
going?i'm               ('Genesis', '16', '8')
sarai,"                 ('Genesis', '16', '8')
count."                 ('Genesis', '16', '10')
roi;                    ('Genesis', '16', '14')
bered.                  ('Genesis', '16', '14')
borne.                  ('Genesis', '16', '15')
eighty-six              ('Genesis', '16', '16')
numbers."               ('Genesis', '17', '2')
abram;                  ('Genesis', '17', '5')
keep:                   ('Genesis', '17', '10')
undergo                 ('Genesis', '17', '11')
foreigner-those         ('Genesis', '17', '12')
sarai;                  ('Genesis', '17', '15')
facedown;               ('Genesis', '17', '17')
ninety?"                ('Genesis', '17', '17')
year."                  ('Genesis', '17', '21')
thirteen;               ('Genesis', '17', '25')
brought,                ('Genesis', '18', '4')
way-now                 ('Genesis', '18', '5')
servant.very            ('Genesis', '18', '5')
"quick,"                ('Genesis', '18', '6')
sarah?"                 ('Genesis', '18', '9')
"there,                 ('Genesis', '18', '9')
childbearing.           ('Genesis', '18', '11')
pleasure?"              ('Genesis', '18', '12')
old?'                   ('Genesis', '18', '13')
thing-to                ('Genesis', '18', '25')
fifty?                  ('Genesis', '18', '28')
people?if               ('Genesis', '18', '28')
forty,                  ('Genesis', '18', '29')
ten,                    ('Genesis', '18', '32')
lords,"                 ('Genesis', '19', '2')
