----------------------  ------------------------------
cricket                 ('Leviticus', '11', '22')
grasshopper.            ('Leviticus', '11', '22')
fours,                  ('Leviticus', '11', '27')
weasel,                 ('Leviticus', '11', '29')
rat,                    ('Leviticus', '11', '29')
gecko,                  ('Leviticus', '11', '30')
monitor                 ('Leviticus', '11', '30')
skink                   ('Leviticus', '11', '30')
chameleon.              ('Leviticus', '11', '30')
collecting              ('Leviticus', '11', '36')
detestable;             ('Leviticus', '11', '41')
eaten.'"                ('Leviticus', '11', '47')
pigeon                  ('Leviticus', '12', '6')
clean.'"                ('Leviticus', '12', '8')
chronic                 ('Leviticus', '13', '11')
isolation,              ('Leviticus', '13', '11')
heals,                  ('Leviticus', '13', '18')
infectious.             ('Leviticus', '13', '22')
chin,                   ('Leviticus', '13', '29')
thin,                   ('Leviticus', '13', '30')
chin.                   ('Leviticus', '13', '30')
bald,                   ('Leviticus', '13', '40')
scalp                   ('Leviticus', '13', '41')
'unclean!               ('Leviticus', '13', '45')
unclean!'               ('Leviticus', '13', '45')
infection               ('Leviticus', '13', '46')
mildew-any              ('Leviticus', '13', '47')
leather-                ('Leviticus', '13', '48')
reddish,                ('Leviticus', '13', '49')
destructive;            ('Leviticus', '13', '52')
spreading,              ('Leviticus', '13', '57')
pronouncing             ('Leviticus', '13', '59')
eyebrows                ('Leviticus', '14', '9')
pronounces              ('Leviticus', '14', '11')
offering-on             ('Leviticus', '14', '28')
reddish                 ('Leviticus', '14', '37')
depressions             ('Leviticus', '14', '37')
dumped                  ('Leviticus', '14', '41')
down-its                ('Leviticus', '14', '45')
plaster-and             ('Leviticus', '14', '45')
hyssop.                 ('Leviticus', '14', '49')
yarn.                   ('Leviticus', '14', '52')
blocked,                ('Leviticus', '15', '3')
uncleanness:            ('Leviticus', '15', '3')
"'whoever               ('Leviticus', '15', '7')
spits                   ('Leviticus', '15', '8')
"'everything            ('Leviticus', '15', '9')
rinsing                 ('Leviticus', '15', '11')
"'anything              ('Leviticus', '15', '20')
area:                   ('Leviticus', '16', '3')
garments;               ('Leviticus', '16', '4')
goats-one               ('Leviticus', '16', '8')
israelites-all          ('Leviticus', '16', '21')
sins-and                ('Leviticus', '16', '21')
releases                ('Leviticus', '16', '26')
camp;                   ('Leviticus', '16', '27')
hides,                  ('Leviticus', '16', '27')
work-whether            ('Leviticus', '16', '29')
blood-i                 ('Leviticus', '17', '10')
"'anyone,               ('Leviticus', '17', '15')
responsible.'"          ('Leviticus', '17', '16')
relations.              ('Leviticus', '18', '6')
elsewhere.              ('Leviticus', '18', '9')
relations;              ('Leviticus', '18', '14')
aunt.                   ('Leviticus', '18', '14')
things-such             ('Leviticus', '18', '29')
"'each                  ('Leviticus', '19', '3')
endangers               ('Leviticus', '19', '16')
frankly                 ('Leviticus', '19', '17')
freed.                  ('Leviticus', '19', '20')
forbidden;              ('Leviticus', '19', '23')
sorcery.                ('Leviticus', '19', '26')
clip                    ('Leviticus', '19', '27')
tattoo                  ('Leviticus', '19', '28')
degrade                 ('Leviticus', '19', '29')
"'rise                  ('Leviticus', '19', '32')
elderly                 ('Leviticus', '19', '32')
quantity.               ('Leviticus', '19', '35')
prostituting            ('Leviticus', '20', '5')
"'consecrate            ('Leviticus', '20', '7')
wife-with               ('Leviticus', '20', '10')
neighbor-both           ('Leviticus', '20', '10')
perversion;             ('Leviticus', '20', '12')
relations,              ('Leviticus', '20', '17')
flow,                   ('Leviticus', '20', '18')
aunt,                   ('Leviticus', '20', '20')
impurity;               ('Leviticus', '20', '21')
ground-those            ('Leviticus', '20', '25')
heads.'"                ('Leviticus', '20', '27')
relative,               ('Leviticus', '21', '2')
husband-for             ('Leviticus', '21', '3')
"'priests               ('Leviticus', '21', '5')
holy-i                  ('Leviticus', '21', '8')
unkempt                 ('Leviticus', '21', '10')
near:                   ('Leviticus', '21', '18')
deformed;               ('Leviticus', '21', '18')
hunchbacked             ('Leviticus', '21', '20')
dwarfed,                ('Leviticus', '21', '20')
damaged                 ('Leviticus', '21', '20')
testicles.              ('Leviticus', '21', '20')
defect;                 ('Leviticus', '21', '21')
contributions.          ('Leviticus', '22', '12')
divorced,               ('Leviticus', '22', '13')
mistake,                ('Leviticus', '22', '14')
requiring               ('Leviticus', '22', '16')
you-either              ('Leviticus', '22', '18')
israel-presents         ('Leviticus', '22', '18')
acceptable.             ('Leviticus', '22', '21')
maimed,                 ('Leviticus', '22', '22')
warts                   ('Leviticus', '22', '22')
stunted,                ('Leviticus', '22', '23')
testicles               ('Leviticus', '22', '24')
bruised,                ('Leviticus', '22', '24')
cut.                    ('Leviticus', '22', '24')
defects.'"              ('Leviticus', '22', '25')
begins;                 ('Leviticus', '23', '6')
work.'"                 ('Leviticus', '23', '8')
behalf;                 ('Leviticus', '23', '11')
oil-an                  ('Leviticus', '23', '13')
aroma-and               ('Leviticus', '23', '13')
offerings-an            ('Leviticus', '23', '18')
commemorated            ('Leviticus', '23', '24')
blasts.                 ('Leviticus', '23', '24')
fire.'"                 ('Leviticus', '23', '25')
begins,                 ('Leviticus', '23', '34')
("'these                ('Leviticus', '23', '37')
fire-the                ('Leviticus', '23', '37')
fronds,                 ('Leviticus', '23', '40')
poplars,                ('Leviticus', '23', '40')
rows,                   ('Leviticus', '24', '6')
row,                    ('Leviticus', '24', '6')
shelomith,              ('Leviticus', '24', '11')
dibri                   ('Leviticus', '24', '11')
danite.)                ('Leviticus', '24', '11')
native-born,            ('Leviticus', '24', '16')
restitution-life        ('Leviticus', '24', '18')
fracture                ('Leviticus', '24', '20')
fracture,               ('Leviticus', '24', '20')
"'count                 ('Leviticus', '25', '8')
years-so                ('Leviticus', '25', '8')
forty-nine              ('Leviticus', '25', '8')
month;                  ('Leviticus', '25', '9')
liberty                 ('Leviticus', '25', '10')
decrease                ('Leviticus', '25', '16')
"'follow                ('Leviticus', '25', '18')
crops?"                 ('Leviticus', '25', '20')
permanently,            ('Leviticus', '25', '23')
sold.                   ('Leviticus', '25', '25')
prospers                ('Leviticus', '25', '26')
refund                  ('Leviticus', '25', '27')
balance                 ('Leviticus', '25', '27')
permanently             ('Leviticus', '25', '30')
redeemable-that         ('Leviticus', '25', '33')
hold-and                ('Leviticus', '25', '33')
resident,               ('Leviticus', '25', '35')
ruthlessly,             ('Leviticus', '25', '43')
alien's                 ('Leviticus', '25', '47')
rate                    ('Leviticus', '25', '50')
compute                 ('Leviticus', '25', '52')
year;                   ('Leviticus', '25', '53')
"'even                  ('Leviticus', '25', '54')
new.                    ('Leviticus', '26', '10')
dole                    ('Leviticus', '26', '26')
sanctuaries,            ('Leviticus', '26', '31')
fathers-their           ('Leviticus', '26', '40')
enemies-then            ('Leviticus', '26', '41')
values,                 ('Leviticus', '27', '2')
shekel;                 ('Leviticus', '27', '3')
specified               ('Leviticus', '27', '8')
animal-one              ('Leviticus', '27', '11')
it-fifty                ('Leviticus', '27', '16')
reduced.                ('Leviticus', '27', '18')
bought,                 ('Leviticus', '27', '22')
gerahs                  ('Leviticus', '27', '25')
devotes                 ('Leviticus', '27', '28')
land-may                ('Leviticus', '27', '28')
redeemed;               ('Leviticus', '27', '28')
ransomed;               ('Leviticus', '27', '29')
flock-every             ('Leviticus', '27', '32')
rod-will                ('Leviticus', '27', '32')
substitution.           ('Leviticus', '27', '33')
substitution,           ('Leviticus', '27', '33')
redeemed.'"             ('Leviticus', '27', '33')
listing                 ('Numbers', '1', '2')
shedeur;                ('Numbers', '1', '5')
zurishaddai;            ('Numbers', '1', '6')
amminadab;              ('Numbers', '1', '7')
zuar;                   ('Numbers', '1', '8')
helon;                  ('Numbers', '1', '9')
ammihud;                ('Numbers', '1', '10')
pedahzur;               ('Numbers', '1', '10')
gideoni;                ('Numbers', '1', '11')
ammishaddai;            ('Numbers', '1', '12')
ocran;                  ('Numbers', '1', '13')
deuel;                  ('Numbers', '1', '14')
enan."                  ('Numbers', '1', '15')
sinai:                  ('Numbers', '1', '19')
testimony-over          ('Numbers', '1', '50')
furnishings;            ('Numbers', '1', '50')
testimony."             ('Numbers', '1', '53')
186,400.                ('Numbers', '2', '9')
151,450.                ('Numbers', '2', '16')
108,100.                ('Numbers', '2', '24')
157,600.                ('Numbers', '2', '31')
standards,              ('Numbers', '2', '34')
obligations             ('Numbers', '3', '8')
libnites                ('Numbers', '3', '21')
shimeites;              ('Numbers', '3', '21')
7,500.                  ('Numbers', '3', '22')
lael.                   ('Numbers', '3', '24')
coverings,              ('Numbers', '3', '25')
ropes-and               ('Numbers', '3', '26')
uzzielites;             ('Numbers', '3', '27')
8,600.                  ('Numbers', '3', '28')
mahlites                ('Numbers', '3', '33')
mushites;               ('Numbers', '3', '33')
6,200.                  ('Numbers', '3', '34')
zuriel                  ('Numbers', '3', '35')
abihail;                ('Numbers', '3', '35')
equipment,              ('Numbers', '3', '36')
ropes.                  ('Numbers', '3', '37')
22,000.                 ('Numbers', '3', '39')
22,273.                 ('Numbers', '3', '43')
273                     ('Numbers', '3', '46')
exceed                  ('Numbers', '3', '46')
1,365                   ('Numbers', '3', '50')
firepans,               ('Numbers', '4', '14')
carrying.               ('Numbers', '4', '15')
"eleazar                ('Numbers', '4', '16')
articles."              ('Numbers', '4', '16')
burdens:                ('Numbers', '4', '24')
pegs,                   ('Numbers', '4', '32')
specific                ('Numbers', '4', '32')
2,750.                  ('Numbers', '4', '36')
2,630.                  ('Numbers', '4', '40')
3,200.                  ('Numbers', '4', '44')
8,580.                  ('Numbers', '4', '48')
wronged.                ('Numbers', '5', '7')
priest.'"               ('Numbers', '5', '10')
undetected              ('Numbers', '5', '13')
(since                  ('Numbers', '5', '13')
act),                   ('Numbers', '5', '13')
impure-or               ('Numbers', '5', '14')
impure-                 ('Numbers', '5', '14')
loosen                  ('Numbers', '5', '18')
husband"-               ('Numbers', '5', '20')
oath-"may               ('Numbers', '5', '21')
swell.                  ('Numbers', '5', '21')
swells                  ('Numbers', '5', '22')
"amen.                  ('Numbers', '5', '22')
"'this,                 ('Numbers', '5', '29')
skins.                  ('Numbers', '6', '4')
cleansing-the           ('Numbers', '6', '9')
separation.             ('Numbers', '6', '12')
yeast-cakes             ('Numbers', '6', '15')
dedication,             ('Numbers', '6', '19')
wafer                   ('Numbers', '6', '19')
separation,             ('Numbers', '6', '21')
nazirite.'"             ('Numbers', '6', '21')
"'"the                  ('Numbers', '6', '24')
peace."'                ('Numbers', '6', '26')
furnishings.            ('Numbers', '7', '1')
utensils.               ('Numbers', '7', '1')
oxen-an                 ('Numbers', '7', '3')
zuar,                   ('Numbers', '7', '18')
helon,                  ('Numbers', '7', '24')
shedeur,                ('Numbers', '7', '30')
zurishaddai,            ('Numbers', '7', '36')
deuel,                  ('Numbers', '7', '42')
pedahzur,               ('Numbers', '7', '54')
gideoni,                ('Numbers', '7', '60')
ammishaddai,            ('Numbers', '7', '66')
ocran,                  ('Numbers', '7', '72')
dishes.                 ('Numbers', '7', '84')
lampstand.'"            ('Numbers', '8', '2')
gold-from               ('Numbers', '8', '4')
retire                  ('Numbers', '8', '25')
levites."               ('Numbers', '8', '26')
regulations."           ('Numbers', '9', '3')
herbs.                  ('Numbers', '9', '11')
native-born.'"          ('Numbers', '9', '14')
encamped,               ('Numbers', '9', '23')
leaders-the             ('Numbers', '10', '4')
camping                 ('Numbers', '10', '5')
signal.                 ('Numbers', '10', '7')
rejoicing-your          ('Numbers', '10', '10')
festivals-you           ('Numbers', '10', '10')
zuar                    ('Numbers', '10', '15')
helon                   ('Numbers', '10', '16')
shedeur                 ('Numbers', '10', '18')
zurishaddai             ('Numbers', '10', '19')
deuel                   ('Numbers', '10', '20')
pedahzur                ('Numbers', '10', '23')
gideoni                 ('Numbers', '10', '24')
units,                  ('Numbers', '10', '25')
ammishaddai             ('Numbers', '10', '25')
ocran                   ('Numbers', '10', '26')
hobab                   ('Numbers', '10', '29')
midianite,              ('Numbers', '10', '29')
rabble                  ('Numbers', '11', '4')
cost-also               ('Numbers', '11', '5')
cucumbers,              ('Numbers', '11', '5')
leeks,                  ('Numbers', '11', '5')
onions                  ('Numbers', '11', '5')
garlic.                 ('Numbers', '11', '5')
appetite;               ('Numbers', '11', '6')
manna!"                 ('Numbers', '11', '6')
resin.                  ('Numbers', '11', '7')
handmill                ('Numbers', '11', '8')
cakes.                  ('Numbers', '11', '8')
wailing,                ('Numbers', '11', '10')
eat!'                   ('Numbers', '11', '13')
now-if                  ('Numbers', '11', '15')
eyes-and                ('Numbers', '11', '15')
wailed,                 ('Numbers', '11', '18')
egypt!"                 ('Numbers', '11', '18')
five,                   ('Numbers', '11', '19')
month-until             ('Numbers', '11', '20')
it-because              ('Numbers', '11', '20')
egypt?"'"               ('Numbers', '11', '20')
month!'                 ('Numbers', '11', '21')
short?                  ('Numbers', '11', '23')
eldad                   ('Numbers', '11', '26')
medad,                  ('Numbers', '11', '26')
"eldad                  ('Numbers', '11', '27')
medad                   ('Numbers', '11', '27')
"moses,                 ('Numbers', '11', '28')
quail.                  ('Numbers', '11', '32')
homers.                 ('Numbers', '11', '32')
hattaavah,              ('Numbers', '11', '34')
craved                  ('Numbers', '11', '34')
"hasn't                 ('Numbers', '12', '2')
earth.)                 ('Numbers', '12', '3')
riddles;                ('Numbers', '12', '8')
miriam-leprous,         ('Numbers', '12', '10')
leprosy;                ('Numbers', '12', '10')
foolishly               ('Numbers', '12', '11')
shammua                 ('Numbers', '13', '4')
zaccur;                 ('Numbers', '13', '4')
hori;                   ('Numbers', '13', '5')
jephunneh;              ('Numbers', '13', '6')
nun;                    ('Numbers', '13', '8')
palti                   ('Numbers', '13', '9')
raphu;                  ('Numbers', '13', '9')
gaddiel                 ('Numbers', '13', '10')
sodi;                   ('Numbers', '13', '10')
joseph),                ('Numbers', '13', '11')
gaddi                   ('Numbers', '13', '11')
susi;                   ('Numbers', '13', '11')
gemalli;                ('Numbers', '13', '12')
sethur                  ('Numbers', '13', '13')
nahbi                   ('Numbers', '13', '14')
vophsi;                 ('Numbers', '13', '14')
geuel                   ('Numbers', '13', '15')
maki.                   ('Numbers', '13', '15')
(moses                  ('Numbers', '13', '16')
joshua.)                ('Numbers', '13', '16')
fortified?              ('Numbers', '13', '19')
grapes.)                ('Numbers', '13', '20')
ahiman,                 ('Numbers', '13', '22')
sheshai                 ('Numbers', '13', '22')
talmai,                 ('Numbers', '13', '22')
anak,                   ('Numbers', '13', '22')
eshcol,                 ('Numbers', '13', '23')
exploring               ('Numbers', '13', '25')
account:                ('Numbers', '13', '27')
honey!                  ('Numbers', '13', '27')
negev;                  ('Numbers', '13', '29')
explored.               ('Numbers', '13', '32')
nephilim).              ('Numbers', '13', '33')
desert!                 ('Numbers', '14', '2')
oath;                   ('Numbers', '14', '16')
displayed,              ('Numbers', '14', '17')
generation.'            ('Numbers', '14', '18')
pardoned                ('Numbers', '14', '19')
complaints              ('Numbers', '14', '27')
fall-every              ('Numbers', '14', '29')
you-your                ('Numbers', '14', '32')
years-one               ('Numbers', '14', '34')
land-you                ('Numbers', '14', '34')
disobeying              ('Numbers', '14', '41')
command?                ('Numbers', '14', '41')
succeed!                ('Numbers', '14', '41')
presumption             ('Numbers', '14', '44')
manner.                 ('Numbers', '15', '11')
prepare.                ('Numbers', '15', '12')
moses-                  ('Numbers', '15', '22')
intentional             ('Numbers', '15', '25')
unintentional           ('Numbers', '15', '26')
defiantly,              ('Numbers', '15', '30')
custody,                ('Numbers', '15', '34')
'throughout             ('Numbers', '15', '38')
tassel.                 ('Numbers', '15', '38')
lusts                   ('Numbers', '15', '39')
reubenites-dathan       ('Numbers', '16', '1')
peleth-became           ('Numbers', '16', '1')
well-known              ('Numbers', '16', '2')
far!                    ('Numbers', '16', '3')
assembly?"              ('Numbers', '16', '3')
followers:              ('Numbers', '16', '5')
far!"                   ('Numbers', '16', '7')
come!"                  ('Numbers', '16', '14')
tomorrow-you            ('Numbers', '16', '16')
it-250                  ('Numbers', '16', '17')
all-and                 ('Numbers', '16', '17')
abiram.'"               ('Numbers', '16', '24')
idea:                   ('Numbers', '16', '28')
contempt."              ('Numbers', '16', '30')
owned;                  ('Numbers', '16', '33')
holy-                   ('Numbers', '16', '37')
started."               ('Numbers', '16', '46')
14,700                  ('Numbers', '16', '49')
sprout,                 ('Numbers', '17', '5')
staffs,                 ('Numbers', '17', '6')
blossomed               ('Numbers', '17', '8')
lost!                   ('Numbers', '17', '12')
meeting-all             ('Numbers', '18', '4')
tent-and                ('Numbers', '18', '4')
land's                  ('Numbers', '18', '13')
goat;                   ('Numbers', '18', '17')
holiest                 ('Numbers', '18', '29')
product                 ('Numbers', '18', '30')
anywhere,               ('Numbers', '18', '31')
watches,                ('Numbers', '19', '5')
burned-its              ('Numbers', '19', '5')
hide,                   ('Numbers', '19', '5')
offal.                  ('Numbers', '19', '5')
tent:                   ('Numbers', '19', '14')
container               ('Numbers', '19', '15')
lid                     ('Numbers', '19', '15')
evening."               ('Numbers', '19', '22')
grapevines              ('Numbers', '20', '5')
drink!"                 ('Numbers', '20', '5')
rock?"                  ('Numbers', '20', '10')
try,                    ('Numbers', '20', '18')
foot-nothing            ('Numbers', '20', '19')
eleazar.                ('Numbers', '20', '28')
atharim,                ('Numbers', '21', '1')
cities."                ('Numbers', '21', '2')
impatient               ('Numbers', '21', '4')
bread!                  ('Numbers', '21', '5')
food!"                  ('Numbers', '21', '5')
sunrise.                ('Numbers', '21', '11')
arnon,                  ('Numbers', '21', '13')
"...waheb               ('Numbers', '21', '14')
suphah                  ('Numbers', '21', '14')
"spring                 ('Numbers', '21', '17')
well!                   ('Numbers', '21', '17')
sank-                   ('Numbers', '21', '18')
scepters                ('Numbers', '21', '18')
staffs."                ('Numbers', '21', '18')
mattanah,               ('Numbers', '21', '18')
mattanah                ('Numbers', '21', '19')
nahaliel,               ('Numbers', '21', '19')
nahaliel                ('Numbers', '21', '19')
bamoth,                 ('Numbers', '21', '19')
amorites:               ('Numbers', '21', '21')
fortified.              ('Numbers', '21', '24')
sihon's                 ('Numbers', '21', '27')
"fire                   ('Numbers', '21', '28')
sihon.                  ('Numbers', '21', '28')
arnon's                 ('Numbers', '21', '28')
chemosh!                ('Numbers', '21', '29')
dibon.                  ('Numbers', '21', '30')
nophah,                 ('Numbers', '21', '30')
medeba."                ('Numbers', '21', '30')
licks                   ('Numbers', '22', '4')
pethor,                 ('Numbers', '22', '5')
fee                     ('Numbers', '22', '7')
"spend                  ('Numbers', '22', '8')
"balaam                 ('Numbers', '22', '14')
handsomely              ('Numbers', '22', '17')
you?no,"                ('Numbers', '22', '30')
drawn.                  ('Numbers', '22', '31')
displeased,             ('Numbers', '22', '34')
balak.                  ('Numbers', '22', '35')
summons?                ('Numbers', '22', '37')
huzoth.                 ('Numbers', '22', '39')
ram."                   ('Numbers', '23', '4')
cursed?                 ('Numbers', '23', '8')
denounced?              ('Numbers', '23', '8')
theirs!"                ('Numbers', '23', '10')
mouth?"                 ('Numbers', '23', '12')
zophim                  ('Numbers', '23', '14')
zippor.                 ('Numbers', '23', '18')
act?                    ('Numbers', '23', '19')
fulfill?                ('Numbers', '23', '19')
done!'                  ('Numbers', '23', '23')
lioness;                ('Numbers', '23', '24')
victims."               ('Numbers', '23', '24')
says?"                  ('Numbers', '23', '26')
resort                  ('Numbers', '24', '1')
buckets;                ('Numbers', '24', '7')
agag;                   ('Numbers', '24', '7')
cursed!"                ('Numbers', '24', '9')
balaam.                 ('Numbers', '24', '10')
handsomely,             ('Numbers', '24', '11')
says'?                  ('Numbers', '24', '13')
sheth.                  ('Numbers', '24', '17')
conquered;              ('Numbers', '24', '18')
conquered,              ('Numbers', '24', '18')
"amalek                 ('Numbers', '24', '20')
captive."               ('Numbers', '24', '22')
kittim;                 ('Numbers', '24', '24')
shittim,                ('Numbers', '25', '1')
them-through            ('Numbers', '25', '8')
stopped;                ('Numbers', '25', '8')
24,000.                 ('Numbers', '25', '9')
"phinehas               ('Numbers', '25', '11')
salu,                   ('Numbers', '25', '14')
simeonite               ('Numbers', '25', '14')
cozbi                   ('Numbers', '25', '15')
"treat                  ('Numbers', '25', '17')
affair                  ('Numbers', '25', '18')
cozbi,                  ('Numbers', '25', '18')
families-all            ('Numbers', '26', '2')
hanochite               ('Numbers', '26', '5')
palluite                ('Numbers', '26', '5')
carmite                 ('Numbers', '26', '6')
reuben;                 ('Numbers', '26', '7')
43,730.                 ('Numbers', '26', '7')
pallu                   ('Numbers', '26', '8')
nemuelite               ('Numbers', '26', '12')
jaminite                ('Numbers', '26', '12')
jakinite                ('Numbers', '26', '12')
shaul,                  ('Numbers', '26', '13')
shaulite                ('Numbers', '26', '13')
22,200                  ('Numbers', '26', '14')
zephonite               ('Numbers', '26', '15')
haggite                 ('Numbers', '26', '15')
shunite                 ('Numbers', '26', '15')
ozni,                   ('Numbers', '26', '16')
oznite                  ('Numbers', '26', '16')
erite                   ('Numbers', '26', '16')
arodi,                  ('Numbers', '26', '17')
arodite                 ('Numbers', '26', '17')
areli,                  ('Numbers', '26', '17')
arelite                 ('Numbers', '26', '17')
gad;                    ('Numbers', '26', '18')
shelanite               ('Numbers', '26', '20')
perezite                ('Numbers', '26', '20')
hamul,                  ('Numbers', '26', '21')
hamulite                ('Numbers', '26', '21')
76,500.                 ('Numbers', '26', '22')
tolaite                 ('Numbers', '26', '23')
puite                   ('Numbers', '26', '23')
jashubite               ('Numbers', '26', '24')
shimronite              ('Numbers', '26', '24')
64,300.                 ('Numbers', '26', '25')
seredite                ('Numbers', '26', '26')
elonite                 ('Numbers', '26', '26')
jahleel,                ('Numbers', '26', '26')
jahleelite              ('Numbers', '26', '26')
60,500.                 ('Numbers', '26', '27')
makirite                ('Numbers', '26', '29')
(makir                  ('Numbers', '26', '29')
gilead);                ('Numbers', '26', '29')
iezer,                  ('Numbers', '26', '30')
iezerite                ('Numbers', '26', '30')
helekite                ('Numbers', '26', '30')
asrielite               ('Numbers', '26', '31')
shechemite              ('Numbers', '26', '31')
shemida,                ('Numbers', '26', '32')
shemidaite              ('Numbers', '26', '32')
hepherite               ('Numbers', '26', '32')
(zelophehad             ('Numbers', '26', '33')
tirzah.)                ('Numbers', '26', '33')
52,700.                 ('Numbers', '26', '34')
shuthelahite            ('Numbers', '26', '35')
bekerite                ('Numbers', '26', '35')
tahan,                  ('Numbers', '26', '35')
tahanite                ('Numbers', '26', '35')
shuthelah:              ('Numbers', '26', '36')
eran,                   ('Numbers', '26', '36')
eranite                 ('Numbers', '26', '36')
32,500.                 ('Numbers', '26', '37')
belaite                 ('Numbers', '26', '38')
ashbelite               ('Numbers', '26', '38')
ahiram,                 ('Numbers', '26', '38')
ahiramite               ('Numbers', '26', '38')
shupham,                ('Numbers', '26', '39')
shuphamite              ('Numbers', '26', '39')
hupham,                 ('Numbers', '26', '39')
huphamite               ('Numbers', '26', '39')
ard                     ('Numbers', '26', '40')
ard,                    ('Numbers', '26', '40')
ardite                  ('Numbers', '26', '40')
naamite                 ('Numbers', '26', '40')
45,600.                 ('Numbers', '26', '41')
shuham,                 ('Numbers', '26', '42')
clans;                  ('Numbers', '26', '43')
64,400.                 ('Numbers', '26', '43')
imnite                  ('Numbers', '26', '44')
ishvi,                  ('Numbers', '26', '44')
ishvite                 ('Numbers', '26', '44')
beriite                 ('Numbers', '26', '44')
heberite                ('Numbers', '26', '45')
malkielite              ('Numbers', '26', '45')
(asher                  ('Numbers', '26', '46')
serah.)                 ('Numbers', '26', '46')
jahzeel,                ('Numbers', '26', '48')
jahzeelite              ('Numbers', '26', '48')
gunite                  ('Numbers', '26', '48')
jezer,                  ('Numbers', '26', '49')
jezerite                ('Numbers', '26', '49')
shillem,                ('Numbers', '26', '49')
shillemite              ('Numbers', '26', '49')
45,400.                 ('Numbers', '26', '50')
601,730.                ('Numbers', '26', '51')
listed.                 ('Numbers', '26', '54')
groups."                ('Numbers', '26', '56')
libnite                 ('Numbers', '26', '58')
hebronite               ('Numbers', '26', '58')
mahlite                 ('Numbers', '26', '58')
mushite                 ('Numbers', '26', '58')
(kohath                 ('Numbers', '26', '58')
amram;                  ('Numbers', '26', '58')
amram's                 ('Numbers', '26', '59')
fire.)                  ('Numbers', '26', '61')
23,000.                 ('Numbers', '26', '62')
moses.'"                ('Numbers', '27', '11')
zin.)                   ('Numbers', '27', '14')
shepherd."              ('Numbers', '27', '17')
commissioned            ('Numbers', '27', '23')
accompanying            ('Numbers', '28', '7')
hin;                    ('Numbers', '28', '14')
held.                   ('Numbers', '28', '16')
weeks,                  ('Numbers', '28', '26')
fire-a                  ('Numbers', '29', '6')
feasts:                 ('Numbers', '29', '39')
commands:               ('Numbers', '30', '1')
obligate                ('Numbers', '30', '2')
nullified               ('Numbers', '30', '12')
relationships           ('Numbers', '30', '16')
"arm                    ('Numbers', '31', '3')
signaling.              ('Numbers', '31', '6')
reba-the                ('Numbers', '31', '8')
midian.                 ('Numbers', '31', '8')
hundreds-who            ('Numbers', '31', '14')
675,000                 ('Numbers', '31', '32')
72,000                  ('Numbers', '31', '33')
32,000                  ('Numbers', '31', '35')
675;                    ('Numbers', '31', '37')
72;                     ('Numbers', '31', '38')
61;                     ('Numbers', '31', '39')
32.                     ('Numbers', '31', '40')
community's             ('Numbers', '31', '43')
half-was                ('Numbers', '31', '43')
hundreds-went           ('Numbers', '31', '48')
acquired-armlets,       ('Numbers', '31', '50')
bracelets,              ('Numbers', '31', '50')
necklaces-to            ('Numbers', '31', '50')
gold-all                ('Numbers', '31', '51')
crafted                 ('Numbers', '31', '51')
16,750                  ('Numbers', '31', '52')
"ataroth,               ('Numbers', '32', '3')
sebam,                  ('Numbers', '32', '3')
beon-                   ('Numbers', '32', '3')
jacob-                  ('Numbers', '32', '11')
this-if                 ('Numbers', '32', '20')
bashan-the              ('Numbers', '32', '33')
shophan,                ('Numbers', '32', '35')
jogbehah,               ('Numbers', '32', '35')
nimrah                  ('Numbers', '32', '36')
changed)                ('Numbers', '32', '38')
makirites,              ('Numbers', '32', '40')
leadership              ('Numbers', '33', '1')
stages:                 ('Numbers', '33', '2')
migdol.                 ('Numbers', '33', '7')
hahiroth                ('Numbers', '33', '8')
marah                   ('Numbers', '33', '9')
dophkah.                ('Numbers', '33', '12')
dophkah                 ('Numbers', '33', '13')
alush.                  ('Numbers', '33', '13')
alush                   ('Numbers', '33', '14')
rephidim                ('Numbers', '33', '15')
hazeroth.               ('Numbers', '33', '17')
rithmah.                ('Numbers', '33', '18')
rithmah                 ('Numbers', '33', '19')
rissah.                 ('Numbers', '33', '21')
rissah                  ('Numbers', '33', '22')
kehelathah.             ('Numbers', '33', '22')
kehelathah              ('Numbers', '33', '23')
shepher.                ('Numbers', '33', '23')
shepher                 ('Numbers', '33', '24')
haradah.                ('Numbers', '33', '24')
haradah                 ('Numbers', '33', '25')
makheloth.              ('Numbers', '33', '25')
makheloth               ('Numbers', '33', '26')
tahath.                 ('Numbers', '33', '26')
mithcah.                ('Numbers', '33', '28')
mithcah                 ('Numbers', '33', '29')
hashmonah.              ('Numbers', '33', '29')
hashmonah               ('Numbers', '33', '30')
moseroth.               ('Numbers', '33', '30')
moseroth                ('Numbers', '33', '31')
jaakan.                 ('Numbers', '33', '31')
jaakan                  ('Numbers', '33', '32')
haggidgad.              ('Numbers', '33', '32')
haggidgad               ('Numbers', '33', '33')
jotbathah.              ('Numbers', '33', '33')
jotbathah               ('Numbers', '33', '34')
abronah.                ('Numbers', '33', '34')
abronah                 ('Numbers', '33', '35')
zin.                    ('Numbers', '33', '36')
zalmonah.               ('Numbers', '33', '41')
zalmonah                ('Numbers', '33', '42')
punon.                  ('Numbers', '33', '42')
punon                   ('Numbers', '33', '43')
iyim                    ('Numbers', '33', '45')
diblathaim.             ('Numbers', '33', '46')
diblathaim              ('Numbers', '33', '47')
nebo.                   ('Numbers', '33', '47')
