--------------------  ------------------------------
157,600.              ['Numbers', '2', '31']
16,750                ['Numbers', '31', '52']
160                   ['Ezra', '8', '10']
162                   ['Genesis', '5', '18']
17,200                ['1 Chronicles', '7', '11']
18,000                ['Ezekiel', '48', '35']
180                   ['Esther', '1', '4']
180,000               ['2 Chronicles', '17', '18']
182                   ['Genesis', '5', '28']
186,400.              ['Numbers', '2', '9']
187                   ['Genesis', '5', '25']
188                   ['Nehemiah', '7', '26']
2,000                 ['Nehemiah', '7', '72']
2,056                 ['Ezra', '2', '14']
2,067                 ['Nehemiah', '7', '19']
2,200                 ['Nehemiah', '7', '71']
2,300                 ['Daniel', '8', '14']
2,322                 ['Nehemiah', '7', '17']
2,400                 ['Exodus', '38', '29']
2,600                 ['2 Chronicles', '26', '12']
2,630                 ['Numbers', '4', '40']
2,750                 ['Numbers', '4', '36']
2,812                 ['Ezra', '2', '6']
2,818                 ['Nehemiah', '7', '11']
20,200                ['1 Chronicles', '7', '9']
205                   ['Genesis', '11', '32']
207                   ['Genesis', '11', '21']
209                   ['Genesis', '11', '19']
212.                  ['1 Chronicles', '9', '22']
218                   ['Ezra', '8', '9']
22                    ['1 Chronicles', '12', '28']
22,000                ['Numbers', '3', '39']
22,034                ['1 Chronicles', '7', '7']
22,200                ['Numbers', '26', '14']
22,273                ['Numbers', '3', '43']
22,600                ['1 Chronicles', '7', '2']
23,000.               ['Numbers', '26', '62']
232                   ['1 Kings', '20', '15']
25,100                ['Judges', '20', '35']
26,000                ['1 Chronicles', '7', '40']
273                   ['Numbers', '3', '46']
276                   ['Acts', '27', '37']
28                    ['Ezra', '8', '11']
280,000               ['2 Chronicles', '17', '15']
284                   ['Nehemiah', '11', '18']
288                   ['1 Chronicles', '25', '7']
3,023                 ['Jeremiah', '52', '28']
3,200                 ['Numbers', '4', '44']
3,600                 ['2 Chronicles', '2', '18']
3,630                 ['Ezra', '2', '35']
3,700                 ['1 Chronicles', '12', '27']
3,930                 ['Nehemiah', '7', '38']
300,000               ['2 Chronicles', '17', '14']
307,500               ['2 Chronicles', '26', '13']
318                   ['Genesis', '14', '14']
