------------------  --------------------
onycha              Exodus 30:34
galbanum            Exodus 30:34
desecrates          Exodus 31:14
abstained           Exodus 31:17
fashioning          Exodus 32:4
prone               Exodus 32:22
strap               Exodus 32:27
distressing         Exodus 33:4
cleft               Exodus 33:22
maintaining         Exodus 34:7
brooches            Exodus 35:22
embroiderers        Exodus 35:35
designer            Exodus 38:23
730                 Exodus 38:24
per                 Exodus 38:26
2400                Exodus 38:29
inspected           Exodus 39:43
contents            Leviticus 1:16
backbone            Leviticus 3:9
thoughtlessly       Leviticus 5:4
carelessly          Leviticus 5:4
cheats              Leviticus 6:2
continuously        Leviticus 6:13
scoured             Leviticus 6:28
swarming            Leviticus 11:10
jointed             Leviticus 11:21
hopping             Leviticus 11:21
katydid             Leviticus 11:22
cricket             Leviticus 11:22
weasel              Leviticus 11:29
rat                 Leviticus 11:29
gecko               Leviticus 11:30
monitor             Leviticus 11:30
skink               Leviticus 11:30
chameleon           Leviticus 11:30
collecting          Leviticus 11:36
chronic             Leviticus 13:11
scalp               Leviticus 13:41
infection           Leviticus 13:46
pronouncing         Leviticus 13:59
eyebrows            Leviticus 14:9
pronounces          Leviticus 14:11
depressions         Leviticus 14:37
dumped              Leviticus 14:41
spits               Leviticus 15:8
rinsing             Leviticus 15:11
releases            Leviticus 16:26
endangers           Leviticus 19:16
frankly             Leviticus 19:17
clip                Leviticus 19:27
tattoo              Leviticus 19:28
degrade             Leviticus 19:29
elderly             Leviticus 19:32
prostituting        Leviticus 20:5
hunchbacked         Leviticus 21:20
dwarfed             Leviticus 21:20
damaged             Leviticus 21:20
requiring           Leviticus 22:16
warts               Leviticus 22:22
stunted             Leviticus 22:23
defects             Leviticus 22:25
commemorated        Leviticus 23:24
fronds              Leviticus 23:40
dibri               Leviticus 24:11
danite              Leviticus 24:11
liberty             Leviticus 25:10
refund              Leviticus 25:27
redeemable          Leviticus 25:33
rate                Leviticus 25:50
compute             Leviticus 25:52
dole                Leviticus 26:26
values              Leviticus 27:2
devotes             Leviticus 27:28
listing             Numbers 1:2
186400              Numbers 2:9
151450              Numbers 2:16
108100              Numbers 2:24
157600              Numbers 2:31
libnites            Numbers 3:21
shimeites           Numbers 3:21
7500                Numbers 3:22
lael                Numbers 3:24
8600                Numbers 3:28
mahlites            Numbers 3:33
mushites            Numbers 3:33
6200                Numbers 3:34
zuriel              Numbers 3:35
22000               Numbers 3:39
22273               Numbers 3:43
273                 Numbers 3:46
1365                Numbers 3:50
specific            Numbers 4:32
2750                Numbers 4:36
2630                Numbers 4:40
3200                Numbers 4:44
8580                Numbers 4:48
undetected          Numbers 5:13
loosen              Numbers 5:18
swells              Numbers 5:22
retire              Numbers 8:25
camping             Numbers 10:5
cucumbers           Numbers 11:5
leeks               Numbers 11:5
onions              Numbers 11:5
garlic              Numbers 11:5
handmill            Numbers 11:8
homers              Numbers 11:32
palti               Numbers 13:9
raphu               Numbers 13:9
gaddiel             Numbers 13:10
sodi                Numbers 13:10
gaddi               Numbers 13:11
susi                Numbers 13:11
gemalli             Numbers 13:12
